UserId;Login;FullName;Password;RoleId
1;94d5ous@gmail.com;Никифорова Весения Николаевна;uzWC67;1
2;uth4iz@mail.com;Сазонов Руслан Германович;2L6KZG;1
3;yzls62@outlook.com;Одинцов Серафим Артёмович;JlFRCZ;1
4;1diph5e@tutanota.com;Степанов Михаил Артёмович;8ntwUp;2
5;tjde7c@yahoo.com;Ворсин Петр Евгеньевич;YOyhfR;2
6;wpmrc3do@tutanota.com;Старикова Елена Павловна;RSbvHv;2
7;5d4zbu@tutanota.com;Михайлюк Анна Вячеславовна;rwVDh9;3
8;ptec8ym@yahoo.com;Ситдикова Елена Анатольевна;LdNyos;3
9;1qz4kw@mail.com;Ворсин Петр Евгеньевич;gynQMT;3
10;4np6se@mail.com;Старикова Елена Павловна;AtnDjr;3
